prompt_id,prompt_chars,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,generated_tokens,acceptance_rate,top1_match_rate,avg_accepted_prefix_length,total_generation_time,tokens_per_s,proposed_tokens,accepted_tokens,accepted_tokens_per_draft_second,rejection_events,verify_rounds,draft_time,verify_time,rebuild_time,draft_time_ratio,verify_time_ratio,rebuild_time_ratio,target_decode_step_time,draft_decode_step_time,draft_target_latency_ratio
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,top_p,1,,0.9,1.0,128,0.5421686746987951,0.24096385542168675,0.5421686746987951,7.954365253448486,16.09179311253122,83,45,53.60403877001095,38,83,0.8394889831542969,2.9731979370117188,3.727417469024658,0.10553814872787619,0.3737819225390407,0.4686002402779652,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,top_p,1,,0.9,1.0,128,0.45454545454545453,0.29545454545454547,0.45454545454545453,8.450610399246216,15.146834838275995,88,40,42.97846646956822,48,88,0.9306986331939697,3.133101224899292,3.9133055210113525,0.1101338943843615,0.37075442800898273,0.4630796281130668,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,top_p,2,,0.9,1.0,128,0.33116883116883117,0.16233766233766234,0.6623376623376623,8.634924411773682,14.823522928060905,154,51,31.72632389224208,67,77,1.6074979305267334,3.1756787300109863,3.3475022315979004,0.1861623627341679,0.3677714567693218,0.3876701256392697,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,top_p,2,,0.9,1.0,128,0.33766233766233766,0.12987012987012986,0.6753246753246753,8.353368759155273,15.32315927747261,154,52,33.00726298444615,62,77,1.5754108428955078,3.0090689659118652,3.17815899848938,0.18859586932144723,0.36022221126224463,0.380464347992075,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,top_p,2,,0.9,1.0,128,0.3443708609271523,0.11258278145695365,0.6842105263157895,8.493512392044067,15.070325925455586,151,52,35.80640711715846,60,76,1.452254056930542,3.027168035507202,3.4345858097076416,0.17098392159772188,0.3564094447360519,0.4043775591503042,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,top_p,4,,0.9,1.0,128,0.25098039215686274,0.16862745098039217,0.9846153846153847,8.709489583969116,14.696613247646532,255,64,25.468146014908662,61,65,2.5129430294036865,2.6273245811462402,2.876616954803467,0.28852931106652524,0.3016622909776657,0.3302853659872598,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,top_p,4,,0.9,1.0,128,0.22556390977443608,0.13533834586466165,0.8823529411764706,8.996110439300537,14.22837134600053,266,60,23.60718332795509,62,68,2.5415992736816406,2.796114921569824,2.904120445251465,0.28252201780209074,0.31081376117334847,0.32281956350429875,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,top_p,4,,0.9,1.0,128,0.18181818181818182,0.09764309764309764,0.72,10.197919130325317,12.551580215945167,297,54,17.202575809315253,70,75,3.1390647888183594,3.012816905975342,3.3155062198638916,0.3078142460929892,0.2954344771195721,0.3251159552741154,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,top_p,6,,0.9,1.0,128,0.1793478260869565,0.09782608695652174,1.0476190476190477,9.597786903381348,13.336407787393671,368,66,18.435396080155037,62,63,3.5800695419311523,2.4993011951446533,2.6328234672546387,0.3730099009251681,0.26040390564038646,0.27431568274630913,0.04357291758060455,0.01123104803264141,0.2577529496817685
explain_sd_simple,45,speculative,manual,EleutherAI/pythia-14m,EleutherAI/pythia-1.4b,top_p,6,,0.9,1.0,128,0.10615711252653928,0.055201698513800426,0.6329113924050633,12.03025770187378,10.639838578026744,471,50,11.139688097529639,77,79,4.4884560108184814,3.2142295837402344,3.2440028190612793,0.37309724546626954,0.2671787806540171,0.269653643292779,0.04357291758060455,0.01123104803264141,0.2577529496817685
