prompt_id,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,n,prompt_chars_mean,prompt_chars_std,generated_tokens_mean,generated_tokens_std,acceptance_rate_mean,acceptance_rate_std,avg_accepted_prefix_length_mean,avg_accepted_prefix_length_std,total_generation_time_mean,total_generation_time_std,tokens_per_s_mean,tokens_per_s_std,proposed_tokens_mean,proposed_tokens_std,accepted_tokens_mean,accepted_tokens_std,rejection_events_mean,rejection_events_std,verify_rounds_mean,verify_rounds_std,draft_time_mean,draft_time_std,verify_time_mean,verify_time_std,rebuild_time_mean,rebuild_time_std,draft_time_ratio_mean,draft_time_ratio_std,verify_time_ratio_mean,verify_time_ratio_std,rebuild_time_ratio_mean,rebuild_time_ratio_std,target_token_time_mean,target_token_time_std,draft_token_time_mean,draft_token_time_std,draft_target_latency_ratio_mean,draft_target_latency_ratio_std
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,6,50,,1.0,3,45.0,0.0,128.0,0.0,0.18853726932621626,0.029486224373361816,1.1113211951447246,0.1666863825376616,8.168555816014608,0.6220927923321867,15.75881467972802,1.1695072402406157,362.0,31.15552385479446,67.33333333333333,4.9216076867444665,60.0,5.354126134736337,61.333333333333336,4.988876515698588,2.908112366994222,0.27340011016997456,1.9526718457539876,0.16028716815483593,2.203172206878662,0.11914869785822343,0.3555757693689318,0.009793307412576283,0.2389418712620645,0.002421692414027026,0.27017948469443503,0.006671106907656712,0.030586606512467068,0.0,0.008028008541198763,0.00011640738359821167,0.2624681014523973,0.0038058286574146182
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,8,50,,1.0,3,45.0,0.0,128.0,0.0,0.18599729546991212,0.0764689926415468,1.4626111455748552,0.597895873626197,8.242034355799357,1.737219776143554,16.38285683335607,4.047167389757641,433.0,89.84801982607445,73.66666666666667,11.55662388223981,51.666666666666664,14.613540144521982,55.0,11.343133018115703,3.434359153111776,0.7167603611229377,1.738155444463094,0.3709168809527731,1.9374598662058513,0.40934635874068204,0.4169083555116455,0.003660650241586349,0.21074156704682076,0.0009210331764250767,0.2351133095954965,0.0035771492775762523,0.030586606512467068,0.0,0.007929082208478239,1.4942059794621003e-05,0.2592337991220554,0.0004885164291936271
explain_sd_simple,baseline,hf,,EleutherAI/pythia-1.4b,top_p,,,0.9,1.0,3,45.0,0.0,128.0,0.0,,,,,3.9901369412740073,0.07186000184591286,32.08938816201632,0.5713011641031741,,,,,,,,,0.0,0.0,3.9901369412740073,0.07186000184591286,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.031172944853703182,0.0005614062644211942,,,,
explain_sd_simple,baseline,manual,,EleutherAI/pythia-1.4b,top_p,,,0.9,1.0,3,45.0,0.0,128.0,0.0,,,,,3.9124697049458823,0.034250822315926854,32.71840111619093,0.28475756466611496,,,,,,,,,0.0,0.0,3.9124697049458823,0.034250822315926854,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.030566169569889706,0.00026758454934317855,,,,
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_p,1,,0.9,1.0,3,45.0,0.0,128.0,0.0,0.5257155735857562,0.05439505632745223,0.5257155735857562,0.05439505632745223,6.709026177724202,0.21827783892398875,19.09916409710178,0.6268305901787355,84.0,2.943920288775949,44.0,2.943920288775949,40.0,5.887840577551898,84.0,2.943920288775949,0.7184441884358724,0.026209237852471392,2.4611221154530845,0.05848293334988145,3.173499584197998,0.11686871221981374,0.1070791310637214,0.0011840087522426471,0.36696470532475695,0.005170582008651559,0.47295817330350864,0.0027459388867633393,0.030566169569889706,0.0,0.008553570455894402,0.00012985888818634733,0.27983782646813554,0.004248451474739885
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_p,2,,0.9,1.0,3,45.0,0.0,128.0,0.0,0.40802917411095896,0.030724174597277804,0.814372989393702,0.06332437951708038,6.62780515352885,0.23366817629622494,19.33679764912017,0.6871809549210985,141.66666666666666,4.496912521077347,57.666666666666664,2.494438257849294,49.0,5.715476066494082,71.0,2.449489742783178,1.1928776105244954,0.05488722209580911,2.4003959496816,0.0665361303277157,2.6078301270802817,0.08897723700765897,0.17991195359094653,0.0020081832409825527,0.3622741454505943,0.003591846030071791,0.39348436519638086,0.0005382859708397717,0.030566169569889706,0.0,0.0084165091773365,0.00012609622439448728,0.2753537422506313,0.004125352511251603
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_p,4,,0.9,1.0,3,45.0,0.0,128.0,0.0,0.29185225023888717,0.03289935809872886,1.1394418423106947,0.1251559469548065,6.68439785639445,0.47994430353303275,19.249153622776095,1.395664162594186,235.66666666666666,13.572848714334889,68.33333333333333,3.681787005729087,53.666666666666664,4.9216076867444665,60.333333333333336,3.2998316455372216,1.971232255299886,0.14922491163877832,2.021061102549235,0.10840094309450293,2.1635050773620605,0.1907064504788395,0.29481677606392925,0.002561647734790051,0.3027555372482063,0.00559749479425826,0.32328712769866225,0.005373404316986339,0.030566169569889706,0.0,0.00835557955067028,0.00015567683138746743,0.2733603741733227,0.005093108936385114
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_p,6,,0.9,1.0,3,45.0,0.0,128.0,0.0,0.25849004526442987,0.019648867615762816,1.5217864923747277,0.11371839475690977,6.4413902759552,0.37012268345454125,19.936495990858145,1.1322316787111315,300.3333333333333,15.412837362262522,77.33333333333333,2.0548046676563256,48.0,2.160246899469287,51.0,2.449489742783178,2.4206653436024985,0.12989649473578524,1.6272405783335369,0.10701178628293745,1.7897768020629883,0.11104041128365376,0.375879003120735,0.0016044798324636172,0.252503175315246,0.0025009725791142827,0.2777851219814698,0.001351281526568472,0.030566169569889706,0.0,0.00805906118312219,5.763248194894876e-05,0.2636595064584427,0.0018854989931653666
explain_sd_simple,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_p,8,,0.9,1.0,3,45.0,0.0,128.0,0.0,0.15581576474433617,0.012959248173730026,1.2238863287250383,0.11269174892181925,9.020094553629557,0.8756146184294245,14.321945578308368,1.3563857065634655,455.0,17.72004514666935,70.66666666666667,3.2998316455372216,57.0,3.559026084010437,58.0,2.8284271247461903,4.011616388956706,0.4145601913311759,1.9488584995269775,0.18737093848840902,2.1997363567352295,0.2059554221236612,0.44453492958748747,0.0055979178152399155,0.21607303149605028,0.0017737403588286404,0.2439470880455154,0.002141995471196663,0.030566169569889706,0.0,0.008836415782091394,0.0010451975216552013,0.2890913682163178,0.034194586248870736
sampling_diff,baseline,hf,,EleutherAI/pythia-1.4b,greedy,,,,1.0,3,77.0,0.0,128.0,0.0,,,,,3.727424065272013,0.051227950528023196,34.346589047494135,0.47441724646625133,,,,,,,,,0.0,0.0,3.727424065272013,0.051227950528023196,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.029120500509937603,0.0004002183635001812,,,,
