prompt_id,prompt_chars,mode,baseline_impl,draft_model,target_model,strategy,candidate_length_k,top_k,top_p,temperature,generated_tokens,acceptance_rate,avg_accepted_prefix_length,total_generation_time,tokens_per_s,proposed_tokens,accepted_tokens,rejection_events,verify_rounds,draft_time,verify_time,rebuild_time,draft_time_ratio,verify_time_ratio,rebuild_time_ratio,target_token_time,draft_token_time,draft_target_latency_ratio
draft_target_interaction,80,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,4,50,,1.0,128,0.352112676056338,1.3888888888888888,6.016012668609619,21.27655094010673,213,75,47,54,1.6548466682434082,1.6758909225463867,1.8444414138793945,0.2750736674605217,0.27857170768453643,0.30658868514412047,0.028561154380440712,0.0077692331842413535,0.2720209792907352
draft_target_interaction,80,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,4,50,,1.0,128,0.2857142857142857,1.1147540983606556,6.981690168380737,18.333669485892845,238,68,56,61,1.9218063354492188,1.9613492488861084,2.1156063079833984,0.2752637669532882,0.28092756933970386,0.30302208447529416,0.028561154380440712,0.00807481653550092,0.2827202440049386
draft_target_interaction,80,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,4,50,,1.0,128,0.2974137931034483,1.1694915254237288,6.903602361679077,18.541044703053863,232,69,55,59,1.896676778793335,1.9252409934997559,2.094346523284912,0.2747372573660268,0.27887483847367817,0.3033700977493047,0.028561154380440712,0.00817533094307472,0.2862395137877677
draft_target_interaction,80,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,6,50,,1.0,128,0.3412698412698413,2.0476190476190474,5.719109296798706,22.381107504213723,252,86,40,42,2.038168430328369,1.3537917137145996,1.5016729831695557,0.3563786464912013,0.23671373346062644,0.26257112869133714,0.028561154380440712,0.008087969961620513,0.28318077952617093
draft_target_interaction,80,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,6,50,,1.0,128,0.2023121387283237,1.1864406779661016,7.8259923458099365,16.35575328265324,346,70,56,59,2.7909646034240723,1.8609204292297363,2.0922117233276367,0.35662756620486147,0.23778715171195888,0.26734139657673117,0.028561154380440712,0.008066371686196741,0.2824245679551652
draft_target_interaction,80,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,6,50,,1.0,128,0.20771513353115728,1.206896551724138,7.432352066040039,17.222004402194372,337,70,55,58,2.6408681869506836,1.786656379699707,1.9757452011108398,0.355320652666248,0.24038909403435169,0.26583041055582257,0.028561154380440712,0.007836404115580663,0.2743728075972727
draft_target_interaction,80,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,8,50,,1.0,128,0.1896551724137931,1.4807692307692308,7.881027936935425,16.241536132629598,406,77,51,52,3.28564715385437,1.602588415145874,1.877169132232666,0.4169059138156043,0.20334763789316654,0.23818836162667026,0.028561154380440712,0.008092726979936873,0.2833473350600613
draft_target_interaction,80,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,8,50,,1.0,128,0.17577197149643706,1.3703703703703705,8.082198143005371,15.837275668720874,421,74,52,54,3.3949074745178223,1.741499662399292,1.8725378513336182,0.42004754331046673,0.21547351742501503,0.23168670431003732,0.028561154380440712,0.00806391324113497,0.28233849142516837
draft_target_interaction,80,speculative,manual,EleutherAI/pythia-70m,EleutherAI/pythia-1.4b,top_k,8,50,,1.0,128,0.23782234957020057,1.8043478260869565,6.716656923294067,19.057099605025623,349,83,42,46,2.7757163047790527,1.4362661838531494,1.5850560665130615,0.4132586101208443,0.21383646660171496,0.235988838586637,0.028561154380440712,0.00795334184750445,0.27846710050876194
draft_target_interaction,80,baseline,hf,,EleutherAI/pythia-1.4b,top_p,,,0.9,1.0,128,,,3.7413172721862793,34.21254886656587,,,,,0.0,3.7413172721862793,0.0,0.0,1.0,0.0,0.029229041188955307,,
